taxa	NGP_WH_1h_l2FC	NGP_InH_1h_l2FC	NGP_flg22H_1h_l2FC	NGP_WH_6h_l2FC	NGP_InH_6h_l2FC	NGP_flg22H_6h_l2FC
Vigun10g121200	-0.33	-0.17	0.26	-0.53	-0.26	0.21
Vigun03g011700	0.94	1.26	0.26	3.28	3.62	0.16
Vigun02g027700	-0.27	-0.09	0.26	0.58	0.89	0.15
Vigun09g023000	-0.01	0.43	0.26	1.72	1.98	0.37
Vigun06g179600	-0.82	-0.57	0.26	0.37	0.44	0.03
Vigun09g089200	-0.65	-0.55	0.26	-0.06	0.04	0.15
Vigun05g172400	-0.84	-0.66	0.26	-1.27	-1.47	-0.44
Vigun02g045700	-0.62	-0.54	0.26	-0.11	0.32	0.33
Vigun08g044300	-0.17	0.11	0.26	0.95	1.17	0.14
Vigun09g223300	-0.25	0.02	0.26	-0.34	-0.08	0.14
Vigun06g124800	-0.24	0.07	0.26	-0.60	-0.31	0.17
Vigun07g159700	1.42	1.77	0.26	3.98	4.50	0.07
Vigun03g152900	-1.22	-0.91	0.26	0.10	0.24	-0.06
Vigun03g198800	0.36	0.01	0.26	-1.08	0.07	-0.10
Vigun10g195400	0.58	0.79	0.26	1.74	2.37	0.43
Vigun09g241300	1.16	1.51	0.26	0.18	0.53	0.23
Vigun01g110750	-0.28	-0.17	0.26	-0.68	-0.47	0.22
Vigun05g109800	-0.47	-0.44	0.26	-0.49	-0.42	0.16
Vigun01g115532	-0.28	-0.07	0.26	-0.04	0.04	0.05
Vigun10g154200	-0.43	-0.20	0.26	-1.00	-3.83	-0.22
Vigun11g170100	1.41	1.53	0.26	-1.47	-1.94	0.21
Vigun11g221600	-1.21	-1.06	0.26	-0.38	-0.47	-0.19
Vigun01g236400	-0.14	0.03	0.26	0.34	0.84	0.38
Vigun05g133800	-0.09	-0.08	0.26	0.25	0.55	0.21
Vigun07g296800	-0.65	-0.43	0.26	-1.16	-0.89	0.07
Vigun09g178400	4.72	5.52	0.26	2.80	3.27	1.06
Vigun08g177100	-0.04	0.18	0.26	1.92	2.17	0.06
Vigun05g054700	-0.19	0.12	0.26	0.77	1.03	-0.03
Vigun08g020400	0.32	0.53	0.26	0.08	0.17	0.19
Vigun03g164600	-0.03	0.28	0.26	0.36	0.73	0.30
Vigun06g113200	1.86	1.91	0.26	1.90	2.38	0.29
Vigun06g032450	-0.42	-0.79	0.26	-1.06	-0.31	-0.13
Vigun03g421100	-0.46	-0.27	0.26	0.63	1.10	0.15
Vigun05g079000	-0.72	-0.65	0.26	0.39	0.23	-0.16
Vigun09g155100	-0.70	-0.67	0.26	0.33	0.08	-0.96
Vigun01g154300	0.29	0.64	0.26	-0.09	0.51	0.25
Vigun05g079700	-0.09	0.41	0.26	0.41	0.01	-0.10
Vigun10g133300	1.74	2.57	0.26	5.44	5.45	0.38
Vigun03g033100	0.46	0.93	0.26	2.91	3.31	0.08
Vigun10g081700	1.84	0.58	0.26	-0.50	-3.00	-1.17
Vigun08g210900	-0.68	0.12	0.26	-0.52	-0.54	0.05
Vigun05g063700	-0.31	-0.06	0.26	0.07	-0.65	0.55
Vigun03g283000	-0.02	0.27	0.26	0.19	0.33	0.06
Vigun02g109700	-0.28	-0.04	0.26	0.03	0.46	0.31
Vigun01g080700	-1.26	-1.33	0.26	-0.70	-1.05	-0.38
Vigun06g197400	0.64	0.81	0.26	0.04	0.36	0.18
Vigun07g072800	-0.12	0.03	0.26	0.65	1.23	0.47
Vigun10g141033	-0.21	0.13	0.26	0.02	0.04	0.03
Vigun11g137000	1.69	2.08	0.26	1.66	2.05	0.43
Vigun06g147100	1.34	1.65	0.26	0.99	1.18	0.32
Vigun01g045400	-0.68	-0.44	0.26	-0.86	-0.66	0.44
Vigun10g174900	-1.07	-0.92	0.26	-1.77	-2.97	0.02
Vigun05g198200	1.30	1.67	0.26	-1.11	-1.18	0.12
Vigun07g224700	-1.24	-1.27	0.26	0.13	0.40	0.08
Vigun03g313600	-0.55	-0.38	0.26	0.36	0.57	0.14
Vigun02g066000	2.70	2.62	0.26	5.04	5.48	0.13
Vigun01g116200	-0.03	0.04	0.26	-0.36	-0.05	0.24
Vigun02g153900	-0.40	-0.22	0.26	1.70	1.89	-0.11
Vigun04g133650	-0.74	-0.34	0.26	-2.84	-3.21	0.17
Vigun11g022000	1.64	3.26	0.26	-0.15	0.91	1.97
Vigun09g206000	2.32	2.75	0.26	1.76	2.17	0.28
Vigun04g077900	0.44	0.52	0.26	1.13	1.57	0.21
Vigun06g141700	-0.71	-0.62	0.26	0.34	0.51	0.04
Vigun10g045000	0.91	1.65	0.26	-0.26	-0.12	0.13
Vigun05g024100	0.12	0.49	0.26	1.24	1.73	0.38
Vigun11g174600	-0.12	0.05	0.26	0.83	1.24	0.23
Vigun03g067200	1.12	1.42	0.26	1.06	1.36	0.21
Vigun08g185600	-0.60	-0.57	0.26	-0.27	0.19	0.24
Vigun01g176300	0.90	1.09	0.26	0.48	0.89	0.20
Vigun01g164800	0.30	0.39	0.26	-0.58	-0.06	0.42
Vigun04g196300	-1.01	-0.79	0.26	0.04	0.31	0.21
Vigun11g040300	-0.89	-0.78	0.26	-0.18	0.32	0.37
Vigun01g143800	-0.18	0.25	0.26	1.17	1.44	0.09
Vigun08g126200	-0.65	-0.24	0.26	-0.02	-0.17	-0.51
Vigun09g264700	0.72	0.74	0.26	2.21	2.10	-0.02
Vigun03g129400	-0.37	-0.42	0.26	0.21	-0.53	-0.40
Vigun11g196700	1.09	1.41	0.26	0.35	0.66	0.22
Vigun04g142400	0.20	0.04	0.26	0.91	1.57	0.13
Vigun11g141500	-0.64	-0.62	0.26	-0.48	-0.56	-0.18
Vigun02g103100	0.31	0.57	0.26	2.45	2.54	-0.05
Vigun01g251200	0.99	1.25	0.26	-0.34	-0.18	0.11
Vigun11g005800	0.16	0.43	0.26	1.73	2.10	0.31
Vigun09g164000	-0.21	0.05	0.26	0.96	1.15	-0.17
Vigun06g238300	-0.16	0.14	0.26	-0.99	-1.68	-0.07
Vigun03g301101	-0.32	0.01	0.25	0.93	1.71	0.63
Vigun02g168200	-0.46	-0.29	0.25	1.01	1.19	0.08
Vigun03g110400	0.35	0.67	0.25	0.64	0.69	0.06
Vigun01g010900	-0.64	-0.31	0.25	0.77	1.38	0.31
Vigun03g053900	-0.77	0.05	0.25	0.80	1.06	0.11
Vigun03g355400	0.03	0.12	0.25	1.13	1.22	0.00
Vigun05g253900	1.19	1.27	0.25	0.53	0.66	0.34
Vigun10g138100	0.87	0.33	0.25	-2.18	-0.99	0.44
Vigun01g196300	0.03	-0.58	0.25	-1.46	-0.09	1.40
Vigun09g047500	0.05	0.31	0.25	-0.22	0.26	0.30
Vigun11g189600	-0.70	-0.57	0.25	0.15	0.51	0.27
Vigun07g273100	-0.39	-0.40	0.25	0.32	0.13	-0.23
Vigun03g273600	0.78	1.17	0.25	-1.43	-0.18	1.62
Vigun02g029200	1.39	2.73	0.25	0.97	0.63	0.28
Vigun10g002600	-0.41	-0.45	0.25	-0.11	-0.14	-0.19
Vigun07g131100	-0.68	-0.49	0.25	-1.16	-1.24	-0.14
Vigun07g190100	-0.42	-0.37	0.25	0.13	-0.07	-0.10
Vigun11g096700	0.36	0.74	0.25	0.06	-0.59	-0.34
Vigun09g108000	-0.19	0.20	0.25	-0.18	0.22	0.10
Vigun03g281500	1.46	2.29	0.25	1.65	2.16	0.50
Vigun03g390500	-0.72	-0.36	0.25	0.50	0.71	0.05
Vigun05g130400	3.19	2.23	0.25	0.10	-0.14	0.45
Vigun09g263600	0.76	0.93	0.25	0.66	1.07	0.33
Vigun10g028200	3.92	3.82	0.25	-0.60	-0.69	0.46
Vigun03g407500	0.24	0.58	0.25	0.61	0.78	0.11
Vigun06g159600	3.89	4.38	0.25	2.74	3.32	0.66
Vigun07g133900	-0.09	0.31	0.25	-0.85	-1.08	-0.19
Vigun06g203500	-0.27	-0.08	0.25	0.24	0.74	0.44
Vigun03g426800	-0.28	-0.12	0.25	0.29	0.47	0.13
Vigun03g367100	-0.27	0.01	0.25	0.17	0.70	0.38
Vigun01g033932	0.03	0.25	0.25	-0.05	0.53	0.43
Vigun05g170700	-1.33	-1.07	0.25	-1.73	-3.34	-0.58
Vigun03g054400	-0.32	0.08	0.25	-0.13	-0.46	0.05
Vigun08g129000	-0.63	-0.42	0.25	-0.03	0.27	0.01
Vigun06g150750	1.12	1.41	0.25	1.07	-0.16	-0.99
Vigun03g127300	5.70	6.45	0.25	3.29	6.34	1.08
Vigun09g101200	-0.76	-0.66	0.25	-0.78	-0.75	-0.05
Vigun08g047300	0.60	0.57	0.25	-0.92	-0.70	0.13
Vigun03g375800	0.49	0.86	0.25	2.16	2.31	0.32
Vigun06g043400	-0.66	-0.58	0.25	-0.48	-0.48	-0.18
Vigun04g129500	-3.48	-2.65	0.25	-4.03	-5.62	-0.62
Vigun02g036200	-0.61	0.09	0.25	-0.19	-0.75	-0.66
Vigun07g005950	5.52	6.12	0.25	2.53	2.23	0.73
Vigun07g079300	-0.88	-0.80	0.25	-1.10	-0.75	0.22
Vigun03g304200	0.35	0.60	0.25	1.63	1.58	-0.09
Vigun03g140700	1.16	0.47	0.25	-2.55	-1.37	0.30
Vigun03g047000	-0.13	0.14	0.25	0.85	1.25	0.22
Vigun07g190000	0.23	0.57	0.25	0.57	1.08	0.45
Vigun02g113100	-0.45	-0.35	0.25	-0.31	0.05	0.59
Vigun06g088700	0.82	2.04	0.25	-0.21	-0.06	0.26
Vigun09g122900	-0.09	0.13	0.25	-0.09	0.24	0.21
Vigun06g219100	3.51	3.89	0.25	3.38	3.65	0.13
Vigun03g393000	-1.53	-1.64	0.25	-0.15	-0.15	0.19
Vigun01g198200	-0.31	-0.05	0.25	0.26	0.59	0.15
Vigun09g005200	-0.75	-0.59	0.25	0.64	0.77	-0.10
Vigun10g132900	3.51	3.90	0.25	0.66	1.61	1.13
Vigun07g105300	-0.48	-0.29	0.25	0.58	0.70	0.15
Vigun08g005400	-0.55	0.47	0.25	0.77	1.60	0.51
Vigun03g218200	-0.90	-0.43	0.25	0.64	0.93	0.03
Vigun01g009800	0.35	0.74	0.25	1.49	1.76	0.06
Vigun10g199400	-0.21	0.04	0.25	0.71	1.01	-0.01
Vigun08g195700	3.63	3.84	0.25	1.63	1.81	0.14
Vigun03g310900	-0.05	0.13	0.25	0.45	1.07	0.56
Vigun08g110200	0.54	0.63	0.25	-0.56	-0.68	-0.15
Vigun01g112300	-0.73	-0.43	0.25	-0.95	-1.73	-0.37
Vigun04g181300	-1.02	-0.92	0.25	-0.80	-0.75	0.09
Vigun03g083200	-0.36	-0.25	0.25	0.50	0.84	0.18
Vigun03g093900	1.13	1.07	0.25	1.73	1.76	0.12
Vigun07g236900	-1.13	-0.85	0.25	-0.79	-0.67	-0.12
Vigun02g000049	3.07	2.20	0.25	-0.11	-0.13	1.42
Vigun09g262900	-1.18	-0.88	0.25	-0.67	-0.66	-0.18
Vigun04g105500	-0.17	-0.06	0.25	0.09	0.46	0.23
Vigun05g218100	-1.39	-0.86	0.25	-2.52	-2.43	-0.58
Vigun08g115100	-0.27	-0.12	0.25	-2.30	-4.57	-0.89
Vigun08g019000	0.02	0.06	0.25	-0.36	-0.77	-0.32
Vigun05g164800	-1.38	-1.49	0.25	-0.33	-0.73	-0.05
Vigun03g081300	-0.32	-0.10	0.25	1.18	1.13	-0.18
Vigun11g157900	-0.93	-0.82	0.25	-1.40	-1.76	-0.12
Vigun07g156500	0.13	0.39	0.25	1.63	1.88	0.14
Vigun04g166000	0.95	1.77	0.25	0.65	0.74	0.08
Vigun06g015300	-0.19	0.14	0.25	1.22	1.36	-0.17
Vigun04g044700	0.28	0.48	0.25	1.75	1.95	0.04
Vigun02g031100	-0.22	-0.24	0.25	-0.14	0.20	0.20
Vigun08g111300	0.21	0.30	0.25	1.62	1.90	0.18
Vigun06g101200	1.34	1.90	0.25	0.61	1.00	0.19
Vigun03g071700	4.64	4.96	0.25	3.69	5.09	0.52
Vigun03g099200	-0.54	-0.57	0.25	0.11	0.28	-0.04
Vigun03g422100	-0.78	-0.75	0.25	0.54	0.78	0.29
Vigun03g172300	-0.27	-0.13	0.25	0.64	0.96	0.21
Vigun01g001200	-0.69	-0.12	0.25	1.36	-0.63	-1.74
Vigun09g124150	-0.04	0.07	0.25	-1.00	-0.71	0.16
Vigun09g014000	0.01	0.46	0.25	1.12	1.52	0.38
Vigun10g030500	0.52	0.68	0.25	0.13	0.34	0.15
Vigun08g124300	0.43	0.19	0.25	0.15	0.37	0.12
Vigun03g196700	0.68	0.84	0.25	-1.86	-2.26	0.66
Vigun05g202100	-0.25	-0.29	0.25	2.05	3.20	-0.07
Vigun01g206700	0.15	0.42	0.25	0.13	0.60	0.28
Vigun04g033200	0.07	0.35	0.25	-0.09	0.44	0.36
Vigun02g026900	-0.65	-0.46	0.25	0.80	1.09	0.16
Vigun06g160700	1.18	1.53	0.25	1.23	1.45	0.27
Vigun03g046100	0.73	1.06	0.25	2.17	2.54	0.29
Vigun05g119300	1.90	2.57	0.25	1.41	0.04	0.04
Vigun01g126500	-0.07	0.13	0.25	0.29	0.59	0.27
Vigun06g201900	3.11	3.47	0.25	0.73	0.77	0.09
Vigun02g190600	-0.24	-0.12	0.25	-0.40	0.00	0.24
Vigun07g203100	-0.70	-0.57	0.25	-0.50	-0.40	0.05
Vigun02g176800	3.38	3.55	0.25	-0.01	0.21	0.37
Vigun09g017800	-1.33	-1.34	0.25	-0.08	0.12	-0.06
Vigun09g175300	-0.57	-0.54	0.25	0.01	-0.93	-0.16
Vigun05g291820	-0.25	-0.14	0.25	-0.28	0.23	0.54
Vigun03g450000	0.84	0.92	0.25	1.22	1.30	0.24
Vigun02g039500	-0.26	-0.23	0.25	0.42	0.91	0.32
Vigun11g018000	0.52	0.77	0.25	-0.60	-1.02	0.38
Vigun06g177500	1.55	1.86	0.25	0.63	1.15	0.42
Vigun03g215300	3.15	2.90	0.25	4.61	5.12	0.31
Vigun08g220400	-0.61	-0.38	0.25	0.51	0.63	-0.17
Vigun03g361800	-0.19	0.03	0.25	0.28	0.63	0.36
Vigun01g112200	1.89	2.45	0.25	2.13	2.36	0.51
Vigun01g219500	0.01	-0.03	0.25	-0.22	-0.96	-0.54
Vigun02g179500	-2.45	-2.08	0.25	-0.86	-0.82	0.08
Vigun01g127800	-0.77	-0.55	0.25	-1.26	-2.17	0.08
Vigun08g216600	0.18	0.47	0.25	2.07	2.69	0.27
Vigun10g110500	4.25	4.11	0.25	0.07	0.14	0.05
Vigun01g005600	0.55	0.91	0.25	0.68	1.02	0.20
Vigun10g172000	2.59	3.18	0.25	1.13	2.39	0.88
Vigun07g248600	3.19	3.99	0.25	4.80	5.07	1.05
Vigun05g303800	1.21	1.37	0.25	0.16	0.19	0.30
Vigun01g005500	-0.38	-0.13	0.25	0.20	0.63	0.37
Vigun05g005100	5.96	6.43	0.25	0.21	1.26	0.93
Vigun10g179900	-0.08	0.18	0.25	0.49	0.85	0.22
Vigun05g282900	-0.46	-0.29	0.25	0.07	0.32	0.16
Vigun03g020800	-0.74	-1.29	0.25	0.13	0.95	-0.71
Vigun07g194800	6.03	6.09	0.25	-0.24	0.69	0.72
Vigun07g122800	0.28	-0.08	0.25	-1.12	-0.75	0.43
Vigun07g173600	-1.02	-1.09	0.25	-1.55	-1.69	-0.02
VigunL059420	1.44	1.58	0.25	0.63	1.28	0.83
Vigun08g186500	-0.69	-0.59	0.25	1.19	1.44	0.11
Vigun10g072950	-0.32	0.67	0.25	-2.02	-3.43	-0.30
Vigun02g131100	1.08	1.64	0.25	3.35	5.18	0.15
Vigun10g060033	-0.20	-0.15	0.25	-0.14	0.25	0.18
Vigun03g276000	3.53	3.87	0.25	2.03	1.34	-0.52
Vigun07g057400	-1.27	-0.95	0.25	0.12	0.44	0.04
Vigun04g062700	0.08	0.15	0.25	-0.76	-0.51	0.07
Vigun01g156000	0.76	0.89	0.25	-1.41	-1.68	-0.23
Vigun03g210700	2.58	3.04	0.25	2.55	3.24	0.53
Vigun03g403200	3.01	3.34	0.25	-0.45	-0.27	0.39
Vigun07g143400	1.67	2.22	0.25	1.10	0.89	-0.05
Vigun05g238000	-0.09	0.17	0.25	1.59	1.80	0.19
Vigun07g115900	-0.32	-0.20	0.25	0.24	0.48	0.09
Vigun03g092500	4.82	5.20	0.25	-0.18	-0.85	-0.10
Vigun06g025400	-0.28	-0.03	0.25	-0.27	-0.09	0.09
Vigun09g240700	8.23	8.90	0.25	4.78	4.85	0.13
Vigun02g135200	1.48	1.98	0.25	0.97	1.28	0.21
Vigun03g264400	-0.82	-0.60	0.25	-0.82	-0.82	-0.06
Vigun07g252700	-0.69	-0.54	0.25	-0.74	-0.63	-0.13
VigunL006066	-0.44	0.05	0.25	0.22	0.89	0.55
Vigun05g167500	-0.22	0.00	0.25	0.10	0.60	0.43
Vigun11g212500	5.45	5.53	0.25	1.13	0.99	0.59
Vigun04g026800	-0.88	-0.74	0.25	-0.52	0.19	0.26
Vigun06g054000	0.26	0.73	0.25	0.42	0.77	0.09
Vigun07g160000	-2.52	-2.63	0.25	2.05	2.30	-0.47
Vigun06g089400	-1.03	-0.76	0.25	0.97	1.33	0.17
Vigun07g043300	0.40	0.58	0.25	0.63	1.12	0.41
Vigun04g044000	0.00	-0.14	0.25	-0.48	-0.73	0.32
Vigun07g234100	1.09	1.41	0.25	0.87	1.47	0.49
Vigun05g088600	-0.16	0.01	0.25	0.29	0.62	0.23
Vigun06g165900	0.53	0.77	0.25	-0.27	-0.07	0.17
Vigun03g052000	1.65	1.45	0.25	1.16	1.63	0.50
Vigun07g145500	-0.47	-0.21	0.25	0.03	0.46	0.31
Vigun03g287000	0.43	0.94	0.25	0.05	-0.08	0.06
Vigun03g281100	-0.71	-0.58	0.25	-1.56	-1.98	-0.44
Vigun06g162000	-0.59	-0.58	0.25	-1.43	-1.38	-0.04
Vigun09g228800	2.47	1.75	0.25	5.85	5.99	0.17
Vigun01g222300	0.59	0.39	0.25	-1.25	-2.33	-0.08
Vigun03g246700	-0.76	-1.06	0.25	-0.47	-0.39	0.07
Vigun03g417800	-0.73	-0.73	0.25	0.46	0.78	0.21
Vigun01g054100	-0.76	-0.65	0.25	-1.19	-0.88	0.28
Vigun11g037500	-0.33	-0.14	0.25	0.52	0.77	0.23
Vigun07g236300	2.57	2.75	0.25	0.06	0.55	0.40
Vigun07g155500	-0.12	0.15	0.24	1.46	1.76	0.18
Vigun07g142500	0.27	0.51	0.24	0.62	1.25	0.33
Vigun04g062000	-1.23	-1.57	0.24	-0.14	-0.83	-0.71
Vigun11g145900	0.05	0.13	0.24	1.32	1.49	0.17
Vigun02g175900	-0.47	-0.30	0.24	1.28	1.40	0.06
Vigun03g331200	0.00	0.11	0.24	1.56	1.95	0.34
Vigun04g097201	-1.28	-1.12	0.24	-0.58	-0.42	0.16
Vigun04g151800	-0.39	-0.20	0.24	0.14	0.47	0.31
VigunL043201	-0.06	0.06	0.24	1.14	1.77	0.39
Vigun04g039300	0.83	1.34	0.24	1.60	1.34	0.53
Vigun06g163900	0.21	0.35	0.24	-0.77	-0.22	-0.20
Vigun05g140000	-0.31	-0.02	0.24	0.58	0.75	0.06
Vigun07g233500	4.46	4.86	0.24	1.01	1.28	-0.15
Vigun06g106700	0.28	0.56	0.24	-0.70	-1.65	-0.55
Vigun01g034100	-0.14	-0.12	0.24	0.33	0.63	0.23
Vigun10g145800	-0.17	0.10	0.24	0.06	0.53	0.41
Vigun11g158500	-1.18	-0.71	0.24	-0.31	-0.76	-0.26
Vigun09g063600	4.99	5.48	0.24	2.54	3.14	0.53
Vigun08g152400	-0.69	-0.48	0.24	0.52	0.92	0.38
Vigun03g095400	0.28	1.24	0.24	-0.04	0.02	-0.64
Vigun02g081600	-1.21	-1.21	0.24	-1.32	-1.68	-0.08
Vigun09g000800	2.57	0.47	0.24	0.00	0.68	1.30
Vigun06g124500	-0.91	-0.90	0.24	-1.32	-1.45	0.26
Vigun07g284900	-0.70	-0.54	0.24	-0.89	-1.07	-0.26
Vigun07g071300	-0.49	0.23	0.24	2.39	2.52	-0.05
Vigun01g202500	0.68	0.99	0.24	0.59	1.00	0.27
Vigun06g091800	-0.38	-0.25	0.24	0.62	1.07	0.65
Vigun08g054200	0.89	-0.36	0.24	-0.44	-1.30	-0.20
Vigun08g010400	-0.49	-0.38	0.24	0.32	0.55	0.03
Vigun05g193500	-0.39	-0.29	0.24	1.21	1.58	0.27
Vigun03g427800	5.78	6.37	0.24	4.18	4.34	0.58
Vigun09g257100	0.46	0.54	0.24	0.09	-0.10	-0.21
Vigun09g254300	-0.43	-0.26	0.24	0.15	0.60	0.34
Vigun05g018200	0.60	0.96	0.24	1.87	2.25	0.39
Vigun09g270500	-0.23	-0.05	0.24	0.43	0.74	0.20
Vigun05g086000	-0.66	-0.67	0.24	0.37	0.84	0.53
Vigun11g001300	-0.17	-0.09	0.24	-0.06	0.23	0.01
Vigun10g065950	-1.59	-1.47	0.24	-0.15	0.50	0.34
Vigun07g072400	-1.24	-1.33	0.24	-1.83	-2.30	-0.46
Vigun02g006500	0.21	0.59	0.24	0.39	0.70	0.28
Vigun05g267400	0.74	0.61	0.24	-0.89	-0.16	0.73
Vigun11g146600	1.14	1.32	0.24	1.89	2.27	0.31
Vigun03g318700	-1.16	-0.72	0.24	-2.63	-3.71	-1.27
Vigun05g085400	-0.63	-0.39	0.24	0.14	0.48	0.31
Vigun04g008700	-0.31	-0.15	0.24	-0.34	-0.08	0.11
Vigun09g023633	-0.36	0.08	0.24	-1.10	-1.41	-0.31
Vigun05g041000	-0.28	-0.25	0.24	0.79	0.78	-0.18
Vigun07g118100	-0.05	0.03	0.24	0.41	0.94	0.39
Vigun11g126300	-0.35	-0.12	0.24	0.45	0.89	0.21
Vigun08g038400	-0.32	0.01	0.24	0.13	0.13	0.03
Vigun08g122600	0.69	0.96	0.24	-0.76	-0.99	-0.37
Vigun01g049400	-0.50	-0.43	0.24	0.11	0.21	-0.05
Vigun07g255800	-0.12	0.04	0.24	1.38	1.31	-0.15
Vigun03g386600	1.48	1.81	0.24	1.11	1.28	0.13
Vigun08g022700	-0.29	-0.06	0.24	-0.03	-0.08	0.04
Vigun02g172200	0.90	1.31	0.24	-0.83	-0.91	0.24
Vigun07g122400	0.15	0.98	0.24	-0.43	-0.87	0.45
Vigun05g053300	-0.39	-0.21	0.24	0.97	1.57	0.15
Vigun07g187900	-0.29	-0.03	0.24	-0.46	-0.58	-0.15
Vigun05g141600	-0.39	0.11	0.24	0.52	0.67	-0.03
Vigun07g261500	6.49	7.03	0.24	3.41	3.30	0.32
Vigun08g074000	4.47	4.97	0.24	0.94	1.81	0.68
Vigun03g363000	-1.23	-1.07	0.24	-0.80	-0.58	-0.08
Vigun06g190600	0.72	0.89	0.24	-0.39	-1.02	-0.16
Vigun11g089600	0.55	0.73	0.24	0.12	0.11	0.02
Vigun05g189001	-0.16	-0.07	0.24	-0.41	-1.27	-0.38
Vigun11g002800	1.98	2.21	0.24	0.91	1.09	0.68
Vigun05g302200	-0.90	-0.89	0.24	2.00	2.73	0.26
Vigun10g184600	0.51	0.58	0.24	0.23	-0.44	-0.79
Vigun01g179100	4.79	5.32	0.24	3.04	3.25	0.66
Vigun07g239600	-0.08	0.21	0.24	-0.01	0.30	0.15
Vigun02g199200	1.29	1.58	0.24	1.07	1.40	0.72
Vigun03g254600	0.11	0.40	0.24	-0.18	0.19	0.21
Vigun02g097700	5.37	5.63	0.24	1.81	1.97	0.69
Vigun07g286900	-0.91	-0.87	0.24	-0.29	-1.03	-0.19
Vigun05g240500	0.59	0.86	0.24	3.23	3.12	-0.10
Vigun06g041950	-0.42	-0.21	0.24	0.51	0.96	0.37
Vigun09g035200	-1.26	-1.28	0.24	-1.69	-2.78	-0.37
Vigun10g109300	-0.90	-0.85	0.24	-0.25	-0.01	0.02
Vigun07g001900	-0.92	-1.02	0.24	-0.03	0.02	0.11
Vigun07g063400	0.93	1.26	0.24	1.53	1.47	0.22
Vigun09g209900	5.73	6.06	0.24	3.69	4.44	0.51
Vigun08g044700	-0.09	0.29	0.24	1.11	1.33	-0.12
Vigun09g109500	-0.47	-0.48	0.24	-0.60	-0.42	-0.08
Vigun07g058700	-0.73	-0.56	0.24	-1.19	-1.06	-0.05
Vigun11g000900	1.01	1.39	0.24	1.20	1.63	0.35
Vigun10g032300	1.68	1.94	0.24	1.58	2.01	0.64
Vigun11g160100	-0.87	-0.75	0.24	0.17	0.31	-0.07
Vigun09g058900	0.83	1.17	0.24	-0.18	0.19	0.32
Vigun03g059300	-0.51	-0.70	0.24	1.33	0.67	-1.09
Vigun10g173300	-1.34	-1.44	0.24	-0.01	0.77	0.43
Vigun02g082800	1.45	2.55	0.24	1.43	2.44	0.91
Vigun06g003600	0.22	0.51	0.24	1.90	2.40	0.16
Vigun09g274600	0.06	0.25	0.24	-0.60	-0.21	-0.39
Vigun06g231200	-0.08	0.14	0.24	2.11	2.11	0.06
Vigun04g003400	1.33	1.59	0.24	0.33	0.61	0.09
Vigun05g297900	-0.18	-0.07	0.24	0.31	0.72	0.27
Vigun05g058100	-0.82	-0.81	0.24	-2.04	-2.68	-0.46
Vigun01g148900	-0.01	0.30	0.24	0.40	0.84	0.31
Vigun03g443000	-0.09	0.15	0.24	1.36	1.61	0.21
Vigun07g124200	0.00	0.46	0.24	2.44	3.36	0.58
Vigun01g015600	2.36	2.78	0.24	1.72	2.21	0.12
Vigun06g176000	-0.69	-0.62	0.24	-0.62	-0.71	-0.01
Vigun06g127700	0.26	0.37	0.24	0.83	0.95	-0.13
Vigun03g033400	0.55	0.68	0.24	2.17	2.48	0.17
Vigun09g099300	-0.95	-0.49	0.24	-0.36	-0.31	-0.18
Vigun11g039650	-0.75	-0.88	0.24	-0.64	-0.40	0.30
Vigun07g082300	0.94	1.28	0.24	0.92	1.25	0.11
Vigun07g277900	2.34	2.94	0.24	3.92	4.74	0.78
Vigun08g155400	0.11	0.38	0.24	-0.38	-1.70	-0.61
Vigun03g251500	1.91	2.68	0.24	4.61	5.05	0.11
Vigun03g333300	0.46	0.88	0.24	-0.54	-0.32	0.21
Vigun09g100400	0.20	0.50	0.24	0.26	0.58	0.30
Vigun10g165000	1.70	1.92	0.24	-0.45	0.12	0.36
Vigun04g013700	1.28	1.56	0.24	1.45	1.76	-0.04
Vigun11g198200	-0.32	-0.10	0.24	-0.66	-0.99	-0.25
Vigun11g165700	-2.87	-3.04	0.24	-1.55	-2.97	-0.64
Vigun04g038466	-0.01	0.38	0.24	-0.10	0.17	-0.08
Vigun09g072600	-0.92	-0.79	0.24	0.14	0.46	0.23
Vigun05g016450	-0.84	-0.54	0.24	-0.37	-0.09	0.44
Vigun09g108626	-0.70	-0.48	0.24	-0.41	0.05	0.40
Vigun03g038800	0.14	0.37	0.24	0.59	0.96	0.18
Vigun03g423000	-0.06	0.12	0.24	-0.04	0.13	-0.08
Vigun02g002600	-0.18	0.00	0.24	0.35	0.76	0.38
Vigun03g436300	-0.48	-0.10	0.24	-0.08	0.28	0.26
Vigun07g213100	-0.23	-0.03	0.24	-1.23	-1.10	0.20
Vigun07g141900	0.44	0.69	0.24	-0.27	-0.03	0.25
Vigun08g058300	0.87	1.34	0.24	0.86	1.29	0.35
Vigun11g103700	0.81	1.09	0.24	0.05	0.43	0.22
Vigun08g057600	-0.68	-0.57	0.24	-0.12	0.29	0.18
Vigun05g260900	1.11	1.39	0.24	2.03	2.68	0.27
Vigun03g402600	0.10	0.76	0.24	0.63	0.91	-0.20
Vigun11g092500	-0.80	-0.89	0.24	0.63	0.41	-0.13
Vigun03g155000	-0.79	-0.60	0.24	0.37	0.68	0.15
